subject,dataset,mode_count,control,lesion,seed,n_parameters,rollout_participant_count_mean,rollout_zero_length_fraction,rollout_component_entropy,heldout_event_nll,top1_next_set_accuracy,stop_brier,terminal_stop_probability,nonterminal_stop_probability,posterior_max_mean,posterior_entropy_mean,n_eval_events,participation_mae,rank_wasserstein,precedence_mae,precedence_correlation,participant_count_mean_error,event_length_mean_error,path_sliced_wasserstein,path_empirical_distance,path_split_half_distance,generated_axis_rho_median,generated_axis_rho_abs_median,generated_axis_direction_balance,generated_axis_rho_n,observed_axis_rho_median,observed_axis_rho_abs_median,observed_axis_direction_balance,observed_axis_rho_n,axis_rho_wasserstein,run_dir
epilepsiae_1073,epilepsiae,0,no_history,none,20260726,15,3.6492,0.0698,-0.0,1.639804175451379,0.1720777218052842,0.138000675577362,0.2664121325193618,0.1205506107936026,1.0,0.0,27655,0.2907605255228108,0.0926497385843946,0.0903753640645217,0.0150078430310193,0.1319336828783219,0.1319336828783219,0.2771175623119432,0.2571688222373037,0.0974222091773052,0.0285714285714285,0.4999999999999999,0.4738655944859276,3598,0.5,0.5,0.3423765996343693,27655,0.2181716230126901,/home/honglab/leijiaxin/HFOsp/results/topic5_structured_axis_graph/formal_persistent_path_mode_v1_0/seed_20260726/k_0/no_history/epilepsiae_1073
epilepsiae_1073,epilepsiae,1,merged_path,none,20260726,24,3.7238,0.0648,-0.0,1.610502991752197,0.2193482060244679,0.1374427131304589,0.2642210027313086,0.1149913593674779,1.0,0.0,27655,0.2880605255228108,0.0911355967743726,0.0892642829066795,0.0756179900334867,0.2065336828783222,0.2065336828783222,0.276274533605388,0.2571688222373037,0.0974222091773052,0.0285714285714285,0.4999999999999999,0.4722925457102672,3668,0.5,0.5,0.3423765996343693,27655,0.21392003346488,/home/honglab/leijiaxin/HFOsp/results/topic5_structured_axis_graph/formal_persistent_path_mode_v1_0/seed_20260726/k_1/merged_path/epilepsiae_1073
epilepsiae_1073,epilepsiae,2,intact,none,20260726,24,3.6922,0.063,1.3859256304694456,1.6033176093436865,0.2311504060861519,0.1353235942900982,0.2732623604409325,0.1174217761646743,0.3088791583291748,1.3679371123416495,27655,0.2890605255228107,0.0916177234636232,0.0909455811152852,-0.0025708056415075,0.1749336828783221,0.1749336828783221,0.2763829980303929,0.2571688222373037,0.0974222091773052,0.0285714285714285,0.5,0.4749078537000283,3653,0.5,0.5,0.3423765996343693,27655,0.2140114055680603,/home/honglab/leijiaxin/HFOsp/results/topic5_structured_axis_graph/formal_persistent_path_mode_v1_0/seed_20260726/k_2/intact/epilepsiae_1073
epilepsiae_1073,epilepsiae,2,intact,graph,20260726,24,3.604,0.063,1.3859256304694456,1.6033176093436865,0.2311504060861519,0.1353235942900982,0.2732623604409325,0.1174217761646743,0.3088791583291748,1.3679371123416495,27655,0.2878271921894775,0.0926433046586539,0.0908334820731496,-0.0376401007535291,0.086733682878322,0.086733682878322,0.2744081846008354,0.2571688222373037,0.0974222091773052,0.0285714285714285,0.5,0.4755709742700202,3577,0.5,0.5,0.3423765996343693,27655,0.2174680497880908,/home/honglab/leijiaxin/HFOsp/results/topic5_structured_axis_graph/formal_persistent_path_mode_v1_0/seed_20260726/k_2/intact/epilepsiae_1073
epilepsiae_1073,epilepsiae,2,intact,inhibition,20260726,24,3.718,0.063,1.3859256304694456,1.6033176093436865,0.2311504060861519,0.1353235942900982,0.2732623604409325,0.1174217761646743,0.3088791583291748,1.3679371123416495,27655,0.2888938588561441,0.0921033235523526,0.090805851508014,0.0049337711690628,0.2007336828783219,0.2007336828783219,0.2766223732320047,0.2571688222373037,0.0974222091773052,0.0285714285714285,0.4999999999999999,0.4743227990970655,3667,0.5,0.5,0.3423765996343693,27655,0.2146003111148135,/home/honglab/leijiaxin/HFOsp/results/topic5_structured_axis_graph/formal_persistent_path_mode_v1_0/seed_20260726/k_2/intact/epilepsiae_1073
epilepsiae_1073,epilepsiae,2,intact,drop_forward,20260726,24,3.6786,0.063,0.6922137701054224,1.6033176093436865,0.2311504060861519,0.1353235942900982,0.2732623604409325,0.1174217761646743,0.3088791583291748,1.3679371123416495,27655,0.2936605255228108,0.092762168558711,0.0904525343549366,-0.0049987296340753,0.1613336828783218,0.1613336828783218,0.277701103401375,0.2571688222373037,0.0974222091773052,0.0285714285714285,0.5,0.4728199320498301,3653,0.5,0.5,0.3423765996343693,27655,0.2192751823526924,/home/honglab/leijiaxin/HFOsp/results/topic5_structured_axis_graph/formal_persistent_path_mode_v1_0/seed_20260726/k_2/intact/epilepsiae_1073
epilepsiae_1073,epilepsiae,2,intact,drop_reverse,20260726,24,3.695,0.063,0.6930376565613847,1.6033176093436865,0.2311504060861519,0.1353235942900982,0.2732623604409325,0.1174217761646743,0.3088791583291748,1.3679371123416495,27655,0.2834605255228108,0.0910532010177004,0.0960769947103303,0.0022562402163053,0.1777336828783218,0.1777336828783218,0.2724618684175246,0.2571688222373037,0.0974222091773052,0.0285714285714285,0.4999999999999999,0.472127417519909,3643,0.5,0.5,0.3423765996343693,27655,0.207968178133279,/home/honglab/leijiaxin/HFOsp/results/topic5_structured_axis_graph/formal_persistent_path_mode_v1_0/seed_20260726/k_2/intact/epilepsiae_1073
epilepsiae_1073,epilepsiae,2,intact,mode_collapse,20260726,24,3.724,0.063,1.3859256304694456,1.6033176093436865,0.2311504060861519,0.1353235942900982,0.2732623604409325,0.1174217761646743,0.3088791583291748,1.3679371123416495,27655,0.2886938588561441,0.0914204524478649,0.0879680137885318,0.0658425481917271,0.2067336828783221,0.2067336828783221,0.2759080389834789,0.2571688222373037,0.0974222091773052,0.0285714285714285,0.4999999999999999,0.4717140444694624,3683,0.5,0.5,0.3423765996343693,27655,0.2107883744720377,/home/honglab/leijiaxin/HFOsp/results/topic5_structured_axis_graph/formal_persistent_path_mode_v1_0/seed_20260726/k_2/intact/epilepsiae_1073
epilepsiae_1073,epilepsiae,2,intact,drop_dominant_mode,20260726,24,3.685,0.063,0.6931432605548231,1.6033176093436865,0.2311504060861519,0.1353235942900982,0.2732623604409325,0.1174217761646743,0.3088791583291748,1.3679371123416495,27655,0.2829938588561441,0.0923364685929288,0.0926827439595756,-0.0471731442700212,0.167733682878322,0.167733682878322,0.273707750799239,0.2571688222373037,0.0974222091773052,0.0285714285714285,0.4999999999999999,0.4808075063974978,3641,0.5,0.5,0.3423765996343693,27655,0.2192800659000671,/home/honglab/leijiaxin/HFOsp/results/topic5_structured_axis_graph/formal_persistent_path_mode_v1_0/seed_20260726/k_2/intact/epilepsiae_1073
epilepsiae_1073,epilepsiae,2,weight_shuffle,none,20260726,24,3.6514,0.062,1.3859256304694456,1.621109409975415,0.1869846818135088,0.1343491224227059,0.2792400366212291,0.1200180389977462,0.2780179513921101,1.381067190543585,27655,0.2894605255228108,0.0926808616396231,0.0920747088579386,-0.0414452925307644,0.1341336828783221,0.1341336828783221,0.2747486861874765,0.2571688222373037,0.0974222091773052,0.0285714285714285,0.5,0.4733542319749216,3632,0.5,0.5,0.3423765996343693,27655,0.2147289516358339,/home/honglab/leijiaxin/HFOsp/results/topic5_structured_axis_graph/formal_persistent_path_mode_v1_0/seed_20260726/k_2/weight_shuffle/epilepsiae_1073
