subject,dataset,seed,condition,n_events,n_contacts,whole_participation_mae,whole_rank_wasserstein,whole_precedence_mae,whole_precedence_correlation,whole_participant_count_mean_error,whole_event_length_mean_error,suffix_participation_mae,suffix_rank_wasserstein,suffix_precedence_mae,suffix_precedence_correlation,suffix_participant_count_mean_error,suffix_event_length_mean_error,event_length_wasserstein,stop_hazard_mae,sink_distribution_mae,source_sink_distance_wasserstein,generated_zero_suffix_fraction,mode_prevalence_error,mode_margin_error,template_error,template_correlation,transition_mae,transition_correlation,signed_axis_wasserstein,axis_concentration_error,axis_side_prevalence_error,generated_axis_concentration,generated_axis_positive_fraction,generated_direction_support,mode_readback_reliable,axis_readback_reliable,axis_side_support,global_readback_eligible
epilepsiae_1073,epilepsiae,20260725,full_constructive,27655,6,0.2669499186403905,0.0826647084188093,0.1092610775370407,0.3956389660596797,0.899837280781052,0.899837280781052,0.2669499186403905,0.0841057464618845,0.0969822419672467,0.0639002107864977,0.899837280781052,0.899837280781052,0.1499728801301753,0.1694120801441217,0.1054179473271861,,0.0,0.22100885915747598,0.018607660943685767,0.17142857142857137,0.8285714285714286,0.11231248858829046,0.2080155138978668,,,,,,False,True,False,False,False
epilepsiae_1073,epilepsiae,20260725,static_only,27655,6,0.2541734466341229,0.0846783046171479,0.1145011439951852,0.3279006592207416,0.899837280781052,0.899837280781052,0.2541734466341228,0.0858997908681862,0.1008070513271694,-0.1224011564880729,0.899837280781052,0.899837280781052,0.1499728801301753,0.1694120801441217,0.1069366600373651,,0.0,0.22426324353643096,0.018040331366866058,0.17142857142857137,0.8285714285714286,0.10851693615048764,0.23232062055591463,,,,,,False,True,False,False,False
epilepsiae_1073,epilepsiae,20260725,static_shuffle,27655,6,0.2669499186403905,0.0826647084188093,0.1092610775370407,0.3956389660596797,0.899837280781052,0.899837280781052,0.2669499186403905,0.0841057464618845,0.0969822419672467,0.0639002107864977,0.899837280781052,0.899837280781052,0.1499728801301753,0.1694120801441217,0.1054179473271861,,0.0,0.22100885915747598,0.018607660943685767,0.17142857142857137,0.8285714285714286,0.11231248858829046,0.2080155138978668,,,,,,False,True,False,False,False
epilepsiae_1073,epilepsiae,20260725,history_h1,27655,6,0.2615259446754656,0.0820974965696154,0.1099020235178611,0.3876955190211354,0.899837280781052,0.899837280781052,0.2615259446754655,0.0842325430462362,0.0977498394742289,0.0370920505478481,0.899837280781052,0.899837280781052,0.1499728801301753,0.1694120801441217,0.1054902669800518,,0.0,0.21829687217501353,0.019176470894237546,0.17142857142857137,0.8285714285714286,0.11270020231752362,0.21732385261797024,,,,,,False,True,False,False,False
epilepsiae_1073,epilepsiae,20260725,history_h2,27655,6,0.2653347797263906,0.0823163335651559,0.1089675633559511,0.3983496749881242,0.899837280781052,0.899837280781052,0.2653347797263906,0.0839749020971335,0.0970183512469061,0.059805209248294,0.899837280781052,0.899837280781052,0.1499728801301753,0.1694120801441217,0.1053938407762309,,0.0,0.22075574037244616,0.018638712509367328,0.17142857142857137,0.8285714285714286,0.11229854723409916,0.22171945701357465,,,,,,False,True,False,False,False
epilepsiae_1073,epilepsiae,20260725,constant_stop,27655,6,0.2502501054661604,0.0853721288976519,0.106514632242811,0.4218150533071639,-0.055758452359429,-0.055758452359429,0.2502501054661604,0.0924614626471509,0.0964628469331796,0.0800611430816944,-0.055758452359429,-0.055758452359429,0.2020249502802386,0.3156891363466265,0.1086964382570963,,0.2285662628819381,0.31274633881757363,0.0015698941158691637,0.17142857142857137,0.8285714285714286,0.11212178489170688,0.21784098254686485,,,,,,False,True,False,False,False
epilepsiae_1073,epilepsiae,20260725,no_termination,27655,6,0.4137889471463871,0.0933964629201248,0.0977811626640618,0.4646060955475571,2.482733682878322,2.482733682878322,0.4137889471463871,0.1178646386609004,0.0967928975955962,0.0970027021077048,2.482733682878322,2.482733682878322,0.4137889471463871,0.3519502552668882,0.0998493340565298,,0.0,0.2139215331766407,0.03537988997013142,0.1428571428571428,0.8571428571428572,0.11349260050378802,0.17543632837750484,,,,,,False,True,False,False,False
epilepsiae_1077,epilepsiae,20260725,full_constructive,6476,6,0.0481006794317479,0.0639274197423515,0.1309305017426649,0.7927708925086596,-0.2422791846819021,-0.2422791846819021,0.0481006794317479,0.1260727338599815,0.2078286820536399,0.2606527226099598,-0.2422791846819021,-0.2422791846819021,0.0403798641136504,0.0478130435449138,0.0392217418159357,0.0560855209861305,0.0003088326127239,0.044471896232242125,0.0406331093970847,0.1428571428571428,0.8571428571428572,0.04737686426220067,0.8999353587588881,0.052398618527070256,0.02373088314031402,0.0468737686527933,0.8677366007318219,0.27726289774482543,True,True,True,True,True
epilepsiae_1077,epilepsiae,20260725,static_only,6476,6,0.0563876878731727,0.070823471194954,0.1401570921489008,0.7426854185354038,-0.2422791846819021,-0.2422791846819021,0.0563876878731727,0.1475244994030799,0.2200403139446946,-0.0476820177152378,-0.2422791846819021,-0.2422791846819021,0.0403798641136504,0.0478130435449138,0.0592958616429895,0.0988509349391919,0.0003088326127239,0.06300185299567634,0.06689260744176248,0.1142857142857141,0.8857142857142859,0.08248069524175106,0.7559146735617323,0.07501173683929589,0.053159785632739154,0.05583268122616375,0.8383076982393968,0.2862218103181959,True,True,True,True,True
epilepsiae_1077,epilepsiae,20260725,static_shuffle,6476,6,0.0481006794317479,0.0639274197423515,0.1309305017426649,0.7927708925086596,-0.2422791846819021,-0.2422791846819021,0.0481006794317479,0.1260727338599815,0.2078286820536399,0.2606527226099598,-0.2422791846819021,-0.2422791846819021,0.0403798641136504,0.0478130435449138,0.0392217418159357,0.0560855209861305,0.0003088326127239,0.044471896232242125,0.0406331093970847,0.1428571428571428,0.8571428571428572,0.04737686426220067,0.8999353587588881,0.052398618527070256,0.02373088314031402,0.0468737686527933,0.8677366007318219,0.27726289774482543,True,True,True,True,True
