subject,dataset,seed,condition,history_mode,n_events,n_contacts,suffix_participation_mae,suffix_rank_wasserstein,suffix_precedence_mae,suffix_precedence_correlation,suffix_participant_count_mean_error,suffix_event_length_mean_error,transition_mae,transition_correlation,event_length_wasserstein,stop_hazard_mae
epilepsiae_1073,epilepsiae,20260725,converged_teacher_forced,ordered,27655,6,0.23361658530705723,0.08170546283122208,0.07716439737608169,0.6190976769729076,0.9734225275718673,0.9734225275718673,0.08618588726925551,0.6892049127343245,0.17159042969927082,0.15374289491525506
epilepsiae_1073,epilepsiae,20260725,converged_teacher_forced,frozen,27655,6,0.39900560477309704,0.10796956099902616,0.07393797558532204,0.549259858437265,2.394033628638582,2.394033628638582,0.10119187300223582,0.5188106011635423,0.4019104441632013,0.3460353145785057
epilepsiae_1073,epilepsiae,20260725,converged_teacher_forced,shuffled,27655,6,0.29144217441089615,0.10099332987818167,0.08513011944326022,0.20943033027733582,1.748653046465377,1.748653046465377,0.10281235933935497,0.5040723981900451,0.2964804435605376,0.2636488963331888
epilepsiae_1077,epilepsiae,20260725,converged_teacher_forced,ordered,6476,6,0.060840024706609014,0.059994924345529964,0.09429846713210624,0.9018580036316433,-0.024706609017912218,-0.024706609017912218,0.05031440272847951,0.8823529411764706,0.037883467160798844,0.0748930772214222
epilepsiae_1077,epilepsiae,20260725,converged_teacher_forced,frozen,6476,6,0.29586164298949974,0.16078942880495486,0.19305825180181685,0.41076702165807116,1.7751698579369979,1.7751698579369979,0.08401846509919436,0.7054945054945054,0.3008544368952028,0.24083032168278753
epilepsiae_1077,epilepsiae,20260725,converged_teacher_forced,shuffled,6476,6,0.19675211035618692,0.11663273587884176,0.17397306910600568,0.36759727165852313,1.1805126621371222,1.1805126621371222,0.07961700721492199,0.7145442792501615,0.20612003294214531,0.1807871650636965
epilepsiae_1084,epilepsiae,20260725,converged_teacher_forced,ordered,1464,11,0.0643318430203676,0.07395071110349292,0.09436763634105393,0.6443739755755492,0.057377049180328044,0.057377049180328044,0.02509738024240237,0.8619820619948102,0.0453303527074019,0.07915384654390706
epilepsiae_1084,epilepsiae,20260725,converged_teacher_forced,frozen,1464,11,0.3438276204669647,0.08912752528709746,0.11225144666726164,0.5157152792989032,3.7821038251366117,3.7821038251366117,0.04454357287118836,0.4192443473506656,0.34668405365126675,0.2535994994210418
epilepsiae_1084,epilepsiae,20260725,converged_teacher_forced,shuffled,1464,11,0.1313959264778937,0.07882433264274531,0.11033455162818534,0.46807008199657557,0.7349726775956285,0.7349726775956285,0.03633686760606368,0.7699983899271272,0.09736711376055639,0.09140560552534298
epilepsiae_1096,epilepsiae,20260725,converged_teacher_forced,ordered,28068,7,0.0443514729534396,0.05311345832984478,0.09644963260888441,0.7267721096130179,-0.007196807752600787,-0.007196807752600787,0.021458448959838054,0.9540768033413801,0.0321260611983143,0.060164198455242394
epilepsiae_1096,epilepsiae,20260725,converged_teacher_forced,frozen,28068,7,0.2851595105763554,0.080926567651716,0.07955869667711145,0.8639152687418508,1.9961165740344877,1.9961165740344877,0.04543094125358191,0.6126688497748669,0.2868289256703109,0.2392357638197581
