subject,seed_dir,control,metric,k,value,k80,k90,k95,original_heldout_event_nll,reconstructed_heldout_event_nll,nll_loss
epilepsiae_1073,seed_20260725,full_history_gru,pca_inventory,-1,1.7815638167094068,2,3,4,1.7418762976704913,,
epilepsiae_1073,seed_20260725,full_history_gru,pca_reconstruction,0,0.0,2,3,4,1.7418762976704913,1.8898692362394371,0.1479929385689458
epilepsiae_1073,seed_20260725,full_history_gru,pca_reconstruction,1,0.7210605787196058,2,3,4,1.7418762976704913,1.7069443063908867,-0.03493199127960467
epilepsiae_1073,seed_20260725,full_history_gru,pca_reconstruction,2,0.8047741897292108,2,3,4,1.7418762976704913,1.6950424230618713,-0.046833874608620096
epilepsiae_1073,seed_20260725,full_history_gru,pca_reconstruction,4,0.968752097928682,2,3,4,1.7418762976704913,1.7362307178555056,-0.005645579814985702
epilepsiae_1073,seed_20260725,full_history_gru,pca_reconstruction,8,0.9908194672510028,2,3,4,1.7418762976704913,1.7414281284954214,-0.0004481691750699568
epilepsiae_1073,seed_20260725,full_history_gru,pca_reconstruction,16,0.9994219146624924,2,3,4,1.7418762976704913,1.741346690946583,-0.000529606723908449
epilepsiae_1073,seed_20260725,full_history_gru,pca_reconstruction,32,0.9999999999999983,2,3,4,1.7418762976704913,1.7418762842758,-1.3394691356083399e-08
epilepsiae_1073,seed_20260725,rank_shuffle_gru,pca_inventory,-1,1.3031464905202108,1,2,2,1.703301937795671,,
epilepsiae_1073,seed_20260725,rank_shuffle_gru,pca_reconstruction,0,0.0,1,2,2,1.703301937795671,1.8602994955330532,0.1569975577373821
epilepsiae_1073,seed_20260725,rank_shuffle_gru,pca_reconstruction,1,0.8498899853039816,1,2,2,1.703301937795671,1.7023430478246329,-0.0009588899710382126
epilepsiae_1073,seed_20260725,rank_shuffle_gru,pca_reconstruction,2,0.9372948584932926,1,2,2,1.703301937795671,1.7009575277487914,-0.002344410046879686
epilepsiae_1073,seed_20260725,rank_shuffle_gru,pca_reconstruction,4,0.9863206409426856,1,2,2,1.703301937795671,1.694724840479986,-0.008577097315685123
epilepsiae_1073,seed_20260725,rank_shuffle_gru,pca_reconstruction,8,0.9988540469988272,1,2,2,1.703301937795671,1.703229316662293,-7.26211333781368e-05
epilepsiae_1073,seed_20260725,rank_shuffle_gru,pca_reconstruction,16,0.999885626509003,1,2,2,1.703301937795671,1.703462932080618,0.00016099428494698031
epilepsiae_1073,seed_20260725,rank_shuffle_gru,pca_reconstruction,32,0.999999999999998,1,2,2,1.703301937795671,1.7033019343310678,-3.4646032709417796e-09
epilepsiae_1077,seed_20260725,full_history_gru,pca_inventory,-1,2.3586270066400816,2,3,4,1.3099396890923214,,
epilepsiae_1077,seed_20260725,full_history_gru,pca_reconstruction,0,0.0,2,3,4,1.3099396890923214,1.5096885324914529,0.19974884339913146
epilepsiae_1077,seed_20260725,full_history_gru,pca_reconstruction,1,0.5750266193488069,2,3,4,1.3099396890923214,1.3961034140580781,0.08616372496575675
epilepsiae_1077,seed_20260725,full_history_gru,pca_reconstruction,2,0.8061415755277368,2,3,4,1.3099396890923214,1.3293925386037224,0.019452849511401027
